rule,support
RX_POWER_HIGH_ALARM RX_POWER_LOW_ALARM TX_POWER_HIGH_ALARM,0.005523380523380523
RX_POWER_LOW_ALARM VCC_HIGH_ALARM TEMP_HIGH_ALARM,0.0015015015015015015
X2接口故障告警 SCTP链路故障告警 用户面承载链路故障告警,0.0030566280566280564
VCG LOS告警 VCG端口宿端丢失全部容量 VCG端口宿端丢失部分容量,0.0016623766623766623
VCG LOS告警 VCG端口宿端丢失全部容量 VCG端口源端丢失全部容量,0.004826254826254826
VCG LOS告警 VCG端口宿端丢失全部容量 VCG端口源端丢失部分容量,0.004719004719004719
VCG LOS告警 VCG端口宿端丢失全部容量 不可用秒开始(UAS),0.005952380952380952
VCG LOS告警 VCG端口宿端丢失全部容量 告警指示信号(LP-AIS),0.0027885027885027887
VCG LOS告警 VCG端口宿端丢失全部容量 增强型远端服务缺陷指示（ERDI-S）,0.005898755898755899
VCG LOS告警 VCG端口宿端丢失全部容量 增强型远端连接缺陷指示,0.0012333762333762333
VCG LOS告警 VCG端口宿端丢失全部容量 指针丢失(LP-LOP),0.005898755898755899
VCG LOS告警 VCG端口宿端丢失全部容量 误码率越限(LP-EXC),0.005952380952380952
VCG LOS告警 VCG端口宿端丢失部分容量 VCG端口源端丢失全部容量,0.001287001287001287
VCG LOS告警 VCG端口宿端丢失部分容量 VCG端口源端丢失部分容量,0.0013406263406263406
VCG LOS告警 VCG端口宿端丢失部分容量 不可用秒开始(UAS),0.001716001716001716
VCG LOS告警 VCG端口宿端丢失部分容量 告警指示信号(LP-AIS),0.0010725010725010724
VCG LOS告警 VCG端口宿端丢失部分容量 增强型远端服务缺陷指示（ERDI-S）,0.001716001716001716
VCG LOS告警 VCG端口宿端丢失部分容量 指针丢失(LP-LOP),0.001716001716001716
VCG LOS告警 VCG端口宿端丢失部分容量 误码率越限(LP-EXC),0.001716001716001716
VCG LOS告警 VCG端口源端丢失部分容量 VCG端口源端丢失全部容量,0.003914628914628915
VCG LOS告警 不可用秒开始(UAS) VCG端口源端丢失全部容量,0.00487987987987988
VCG LOS告警 告警指示信号(LP-AIS) VCG端口源端丢失全部容量,0.0022522522522522522
VCG LOS告警 增强型远端服务缺陷指示（ERDI-S） VCG端口源端丢失全部容量,0.00487987987987988
VCG LOS告警 指针丢失(LP-LOP) VCG端口源端丢失全部容量,0.00487987987987988
VCG LOS告警 误码率越限(LP-EXC) VCG端口源端丢失全部容量,0.00487987987987988
VCG LOS告警 VCG端口源端丢失部分容量 不可用秒开始(UAS),0.004826254826254826
VCG LOS告警 VCG端口源端丢失部分容量 告警指示信号(LP-AIS),0.0023058773058773057
VCG LOS告警 VCG端口源端丢失部分容量 增强型远端服务缺陷指示（ERDI-S）,0.004826254826254826
VCG LOS告警 VCG端口源端丢失部分容量 指针丢失(LP-LOP),0.004826254826254826
VCG LOS告警 VCG端口源端丢失部分容量 误码率越限(LP-EXC),0.004826254826254826
VCG LOS告警 告警指示信号(LP-AIS) 不可用秒开始(UAS),0.002842127842127842
VCG LOS告警 增强型远端服务缺陷指示（ERDI-S） 不可用秒开始(UAS),0.006113256113256113
VCG LOS告警 增强型远端连接缺陷指示 不可用秒开始(UAS),0.0012333762333762333
VCG LOS告警 指针丢失(LP-LOP) 不可用秒开始(UAS),0.006113256113256113
VCG LOS告警 误码率越限(LP-EXC) 不可用秒开始(UAS),0.006166881166881167
VCG LOS告警 告警指示信号(LP-AIS) 增强型远端服务缺陷指示（ERDI-S）,0.002842127842127842
VCG LOS告警 指针丢失(LP-LOP) 告警指示信号(LP-AIS),0.002842127842127842
VCG LOS告警 告警指示信号(LP-AIS) 误码率越限(LP-EXC),0.002842127842127842
